out,text
0,About the job
0,"Clarivate(tm) is a global leader in providing solutions to accelerate the lifecycle of innovation. Our bold mission is to help customers solve some of the world's most complex problems by providing actionable information and insights that reduce the time from new ideas to life-changing inventions in the areas of science and intellectual property. We help customers discover, protect and commercialize their inventions using our trusted subscription and technology-based solutions coupled with deep domain expertise."
0,"We now have more than 8,500 colleagues in over 40 countries worldwide, and we work with over 200 partners to deliver value and success for our customers. Today, Clarivate is a publicly traded company, listed on the New York Stock Exchange under the ticker NYSE:CLVT."
0,"Clarivate is committed to building, nurturing, and developing a diverse culture of belonging where new colleagues can bring their authentic self to work every day! Join us!"
0,We are actively seeking a Healthcare Data Analyst in our MedTech Data team. This position is remote based.
0,Position responsibilities:
0,"Design, develop, and maintain processes and systems to analyze structured & unstructured “big data” sources."
0,"Develop and code software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources with an emphasis on US medical devices and supplies markets."
0,"Understand the worldview and pain points of Clarivate customers, working closely with them as a problem-solver. From Fortune 500 companies to smaller startups, you will converse with high-profile clients regularly and be expected to both present and defend conclusions to them."
0,"Evaluate data outputs with an keen eye for details, proactively finding potential errors and omissions."
0,"Identify opportunities and issues for data analysis and experiments, with bias towards driving customer delight."
0,Personal traits:
1,Passionate about data and have hands-on experience wrangling through large data using SQL and BI tools.
1,"Effective communicator who can explain complex ideas using clear and concise language, including through written communication."
1,"Strong ability in communicating directly with customers, helping to deliver and interpret data, while soliciting feedback for future improvements."
1,"Excel at collaborating with a diverse group of internal colleagues, including subject matter experts, product managers, sales leaders, technical experts, and other client-facing analysts."
1,Solutions oriented
1,Education/Knowledge/skills required:
1,Minimum Bachelor’s degree in relevant subject area (science or business)
1,"You have strong quantitative foundations, as evidenced by your educational and professional background."
1,"Proficient in Microsoft Excel (e.g. pivot tables, VLOOKUP, INDEX MATCH)."
1,Proficient with SQL
1,Experience/strong interest in converting unstructured datasets into broadly usable data models.
1,Experience/strong interest in building market forecast models.
1,You know how to deliver an effective presentation.
1,Preferred:
1,Experience from life sciences
1,"Advanced degree (MA, MBA, MPH, MS, or PhD in life sciences, social sciences or statistics) and/or relevant experience in the medical device, healthcare, market research or consulting sectors."
0,"It is the policy of Clarivate to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, pregnancy, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, Clarivate will provide reasonable accommodations for qualified individuals with disabilities."
0,About the job
0,Who We Are
0,"Ford was built on the belief that freedom of movement drives human progress. As we look to the future and the changing needs of society, we are committed to becoming the world’s most trusted mobility company – delivering smart vehicles for a smart world. Join our team as we create tomorrow! We believe in putting people first, working together, and facing challenges head-on."
0,The Role
0,"The Analytics Platform team is looking for a passionate data analyst to join the Enterprise Connectivity organization to help us collect, understand and drive conclusions based on automotive data."
0,Your Impact
0,"The Data Analyst will join a team that manages and maintains our rapidly growing analytics platform. You will be working as part of a motivated team in a fast-paced working environment, where quality and attention to detail are vital. The successful candidate will be responsible for working with the team to ensure the proper data is being collected that is needed to solve difficult technical problems as well as ensuring we are delivering features that the customer loves. The Data Analyst will be performing complex modelling and analyses of the data in order to produce well thought out findings and presentations. Those presentations and visualizations should be able to turn the data into an exciting story that influences the direction of the team and company. The Data Analyst will be aware of all the intricacies and complexities of the data and be able to communicate those effectively as part of the evaluation of the data."
0,"Leverage industry best practices to collect, analyze and present various data aspects of the program"
0,"Work in an agile team of software developers, testers and other data analysts"
0,"Work with the team to ensure the data needed is being collected at all times and is enumerated, tracked and valid"
0,Ensuring the team is aware of personal identifiable information and that all processes are being followed.
0,Write code to perform complex data queries across various data collection systems
0,Perform complex analysis of the data taking into account the problem/feature being looked at and the source of data in order to identify trends and relationships.
0,Present summaries and visualizations to the team and others on findings either as a one time investigation or as a report that is continuously pulling data on a timely basis.
0,Basic Qualifications
1,WHAT YOU'LL NEED:
1,"Bachelor’s Degree in data science, data engineering or related field (Successful candidates will be required to provide proof of degree completion for the highest level of education attained. If the degree was obtained from a school outside of Canada, an Education Credential Assessment report showing Canadian equivalency is also required.)"
1,2+ years work experience
1,Ability to deep dive into complex issues and help drive investigations via data.
1,"Ability to recognize when the results don't make sense, and help identify why."
1,Extensive experience with data querying tools such as HiveQL and SQL.
1,"Extensive experience with building and managing ETL processes through tools such as SSIS, SSAS."
1,Extensive experience with data analysis methods and employing tools such as PySpark
1,"Extensive experience with data reporting, visualization and presentation employing tools such as PowerBI (Preferred), Microsoft BI Stack (SSIS, SSRS, SSAS), and Tableau."
1,"Excellent communication, interpersonal and presentation skills"
1,Preferred Qualifications
1,Experience with automotive technologies.
1,Knowledge of ML/AI technologies.
1,Experience working in an agile environment.
0,"We thank all applicants for their interest, but only those selected for an interview will be contacted."
0,"Ford of Canada is an Equal Opportunity Employer and is committed to a culturally diverse workforce. Accommodations for applicants with disabilities throughout the recruitment, selection and / or assessment processes, where needed, are available upon request. Please inform Human Resources of the nature of any accommodation(s) that you may require."
0,"Candidates for this position must be legally entitled to work in Canada. Ford Motor Company of Canada, Limited does not sponsor work permit applications."
0,About the job
0,"David Aplin Group, one of Canada's Best Managed Companies, has partnered with one of our well-established clients in Ottawa to recruit a talented Tableau Data Analyst to join their office in either Ottawa or Montreal. Working with the IT and Business team leaders, the successful incumbent will communicate the key insights that can be leveraged into outcomes that the teams can act upon. They will also develop specs, proposals and standard processes to manage large complex data sets."
0,The Role
0,"Create data driven models to identify patterns of behavior, correlations to performance improving usage scenarios and impact data based on those models"
0,Perform analysis across existing data sources and recommend new data sources to provide accurate and reliable measures to customer program outcomes
0,Undertake complex analysis but instill key insights in a simple model for business stakeholders to understand and review
0,"Build dashboards, reports and metrics to help teams measure/monitor success"
0,"Present data and insights in a clear and concise manner through the use of visuals, slide decks, and in unconventional ways"
0,"Leverage the power of SQL, R or Python in building reproducible and concise analysis"
0,Identify and develop automation capabilities to extract and populate data sets
0,Contribute to the team’s efforts to create and maintain training and project documentation
1,The Ideal Candidate
1,"Demonstrated usage of automation to extract core data, translate/manipulate data sets and push to visualization dashboard consumers"
1,Expert level proficiency working with Tableau
1,Translate technical subjects to non-technical audiences
1,"Expert knowledge of Excel including tables, charts, and advanced formulas for data manipulation"
1,"Demonstrated examples of working with business partners to deliver a solution that meet project objectives (requirements generation, functional specification generation to project execution)"
1,Expert SQL skills including experience querying large complex data sets
1,"Degree in Mathematics, Statistics, Computer Science, Engineering Sciences or similar"
1,"Knowledge of SAP ERP Systems, Applications and Processes and data constructs"
1,The ability to obtain a Secret Security Clearance is required
0,"If you are interested in this position and meet the above criteria, please click the Apply button to send your resume in confidence directly to David Newark, Consultant. Visit our website at www.aplin.com to view our job opportunities, career tips and tools. We thank all applicants; however, only those selected for an interview will be contacted."
0,WE APPRECIATE YOUR INTEREST IN DAVID APLIN GROUP.
0,"If this is your first introduction to us, we invite you to become one of our satisfied candidates. David Aplin Group has been Canadian owned since 1975. Our professional consultants are passionate about helping you find a fulfilling job or career and ensuring your complete satisfaction with our process. Our proven track record, nearly four decades long, is largely due to our team of highly skilled and successful specialists. Through superior service and a commitment to long-term relationships, we provide deep specialization in core areas for complete recruiting and HR solutions across Canada - all from one source. We look forward to exceeding your expectations!"
0,"Learn more about David Aplin Group and view all our current job opportunities, career tips, and tools at www.aplin.com."
0,9D74432453
0,About the job
0,"You are as unique as your background, experience and point of view. Here, you’ll be encouraged, empowered and challenged to be your best self. You'll work with dynamic colleagues - experts in their fields - who are eager to share their knowledge with you. Your leaders will inspire and help you reach your potential and soar to new heights. Every day, you'll have new and exciting opportunities to make life brighter for our Clients - who are at the heart of everything we do. Discover how you can make a difference in the lives of individuals, families and communities around the world."
0,Job Description
0,"Sun Life has an exciting opportunity to work on an analytics team that has been developing and successfully building out new data and analytical capabilities within Group Retirement Services (GRS) at Sun Life (SL) Canada. Working with the Manager – Reporting Analytics, the mandate of the Data Analyst will focus on supporting the evolution of key performance metrics for GRS clients, business intelligence, and client insights."
0,The Candidate Must Be Able To Communicate Effectively With Business Partners And Understand The Following Areas
0,"Given the mandate of the role, the Data Analyst requires an analyst with a minimum of 3-5 years’ experience who possesses a breadth of analytical and data skills coupled with business acumen."
0,"Business/data analysis – i.e. performance metrics, data analysis"
0,"Data discovery - i.e. identifying and investigating data anomalies, understanding, and leveraging current data sources for client insights"
0,Visual presentation of data i.e. the ability to translate numerical output into effective visual illustrations for clients.
0,What will you do?
0,Support the analytical needs of a main business unit and identify insights in support of the business and clients
0,"Build process for optimal extraction, transformation, and loading (ETL) of data from a wide variety of data sources. Maintenance of the data pipeline processes for end-user reporting"
0,Develop expert knowledge of Sun Life customer data and be knowledgeable of external / 3rd party macro-micro data; working closely with business contacts to understand data availability and attributes
0,"Support the design, development, and production of meaningful performance metrics reports including insights and trend analysis for GRS clients"
0,"Enable leaders to make timely data-driven product, market-development, and distribution decisions"
0,"Comply fully with all privacy, confidentiality, data security, and other requirements related to customer data"
1,What do you need to succeed?
1,Minimum 3 years’ experience with SQL / SAS
1,Must be able to effectively communicate results to a business audience not familiar with data and analytics
1,"3+ years of demonstrated experience in analytics, data warehousing, quantitative data analysis tools, and reporting tools"
1,"Proven ability to work well independently, but also function in a team environment, with frequent contact with people at all levels of the Sun Life Canada organization"
1,Proven balance of analytical and creative problem-solving skills
1,A strong quantitative skills and background
1,Assets
